"","jobkorea.co.kr--domain","saramin.co.kr--domain","jobplanet.co.kr--domain"
"Jan 2017","0.31217343","0.30414098","0.26554406"
"Feb 2017","0.29783632","0.33942328","0.27899065"
"Mar 2017","0.30261973","0.2981525","0.21820624"
"Apr 2017","0.28583716","0.2860003","0.24697684"
"May 2017","0.23553925","0.27111514","0.25698517"
"Jun 2017","0.25020913","0.30200739","0.22369366"
"Jul 2017","0.21427601","0.31894491","0.20846666"
"Aug 2017","0.2265586","0.31177176","0.20869332"
"Sep 2017","0.2344448","0.30246141","0.25026369"
"Oct 2017","0.25414228","0.28647953","0.27270028"
"Nov 2017","0.25371694","0.29369849","0.29907432"
"Dec 2017","0.22196549","0.25715132","0.29959038"
"Jan 2018","0.33652129","0.2940117","0.30785306"
"Feb 2018","0.33577532","0.30199528","0.32485033"
"Mar 2018","0.3681782","0.32943477","0.32951023"
"Apr 2018","0.34779155","0.33066891","0.30606462"
"May 2018","0.37014876","0.31726374","0.3447549"
"Jun 2018","0.36187835","0.29725612","0.34608337"
"Jul 2018","0.33648816","0.30723233","0.33130528"
"Aug 2018","0.35117701","0.32844599","0.37794118"
"Sep 2018","0.34869473","0.34284867","0.37398533"
"Oct 2018","0.31658731","0.34820435","0.33783189"
"Nov 2018","0.32814346","0.31126206","0.33307136"
"Dec 2018","0.34135476","0.32375889","0.36330656"
"Jan 2019","0.30358411","0.32556097","0.342622"
"Feb 2019","0.33326612","0.35107645","0.36595745"
"Mar 2019","0.32664166","0.33396834","0.35570528"
"Apr 2019","0.29942241","0.32388066","0.31982682"
"May 2019","0.29942348","0.32168012","0.32464309"
"Jun 2019","0.31148631","0.33917615","0.32347548"
"Jul 2019","0.31565972","0.3537293","0.35232441"
"Aug 2019","0.34308678","0.35711289","0.3501955"
"Sep 2019","0.33544037","0.33542595","0.3915776"
"Oct 2019","0.29798186","0.36787666","0.38894798"
"Nov 2019","0.30602471","0.36807882","0.41780439"
"Dec 2019","0.31583145","0.37503039","0.42557715"
"Jan 2020","0.289155","0.35316886","0.38334072"
"Feb 2020","0.30748006","0.39462401","0.40531209"
"Mar 2020","0.3084881","0.38208671","0.43155339"
"Apr 2020","0.31732698","0.39221582","0.43801523"
"May 2020","0.33611071","0.28899878","0.38654281"
"Jun 2020","0.35868548","0.30602424","0.38734498"
"Jul 2020","0.34188401","0.30211228","0.38597471"
"Aug 2020","0.34773772","0.30437794","0.33751524"
"Sep 2020","0.35524566","0.31871161","0.34513175"
"Oct 2020","0.38982924","0.32085554","0.37053992"
"Nov 2020","0.37501809","0.33486229","0.36056488"
"Dec 2020","0.3674565","0.3406969","0.3048613"
"Jan 2021","0.37701017","0.32457008","0.31692612"
"Feb 2021","0.36202559","0.31341216","0.37746919"
"Mar 2021","0.36796284","0.29839843","0.38805615"
"Apr 2021","0.42355113","0.3231505","0.44593342"
"May 2021","0.53392679","0.35478848","0.45242908"
"Jun 2021","0.47771084","0.30488737","0.4460199"
"Jul 2021","0.46387075","0.38644238","0.44216411"
"Aug 2021","0.50770835","0.37028357","0.3874206"
"Sep 2021","0.49401711","0.39978568","0.4920728"
"Oct 2021","0.54402817","0.36951585","0.48832182"
"Nov 2021","0.46805037","0.32964808","0.41099673"
"Dec 2021","0.49817911","0.35415422","0.42303442"
"Jan 2022","0.50161828","0.34790056","0.46061274"
"Feb 2022","0.44380605","0.32976102","0.48362548"
"Mar 2022","0.45934728","0.35075193","0.42904226"
"Apr 2022","0.46955361","0.37169548","0.40689188"
"May 2022","0.46932848","0.3716429","0.46826191"
"Jun 2022","0.50386016","0.419203","0.53868185"
"Jul 2022","0.53673098","0.41473629","0.45094897"
"Aug 2022","0.5031021","0.40771143","0.49391976"
"Sep 2022","0.53038127","0.43554188","0.47364053"
"Oct 2022","0.54348606","0.43243178","0.54005563"
"Nov 2022","0.53214751","0.42338742","0.50692293"
"Dec 2022","0.49261395","0.3915182","0.45474666"
"Jan 2023","0.49614155","0.40524849","0.48634927"
"Feb 2023","0.45780615","0.43372621","0.51465566"
"Mar 2023","0.5012272459205321","0.40523111386471805","0.48259386163163476"
