"Date","Econp","Emp","Unemp"
"2016/09","27,565","26,470","1,095"
"2016/10","27,555","26,503","1,052"
"2016/11","27,548","26,543","1,005"
"2016/12","27,580","26,633","947"
"2017/01","27,513","26,578","935"
"2017/02","27,746","26,654","1,092"
"2017/03","27,730","26,713","1,017"
"2017/04","27,761","26,688","1,073"
"2017/05","27,640","26,684","956"
"2017/06","27,705","26,682","1,022"
"2017/07","27,711","26,732","980"
"2017/08","27,835","26,718","1,117"
"2017/09","27,825","26,784","1,041"
"2017/10","27,810","26,786","1,023"
"2017/11","27,824","26,789","1,035"
"2017/12","27,885","26,890","994"
"2018/01","27,850","26,921","929"
"2018/02","27,775","26,743","1,033"
"2018/03","27,943","26,811","1,132"
"2018/04","27,892","26,821","1,070"
"2018/05","27,828","26,762","1,066"
"2018/06","27,786","26,792","994"
"2018/07","27,816","26,754","1,063"
"2018/08","28,007","26,716","1,290"
"2018/09","27,984","26,831","1,153"
"2018/10","27,971","26,855","1,117"
"2018/11","28,033","26,947","1,085"
"2018/12","27,943","26,923","1,021"
"2019/01","28,029","26,939","1,090"
"2019/02","28,070","26,998","1,072"
"2019/03","28,138","27,054","1,085"
"2019/04","28,153","27,006","1,148"
"2019/05","28,103","27,021","1,082"
"2019/06","28,160","27,074","1,086"
"2019/07","28,180","27,058","1,122"
"2019/08","28,151","27,155","996"
"2019/09","28,179","27,181","997"
"2019/10","28,267","27,272","995"
"2019/11","28,310","27,271","1,039"
"2019/12","28,453","27,446","1,008"
"2020/01","28,526","27,523","1,003"
"2020/02","28,450","27,494","956"
"2020/03","27,924","26,845","1,079"
"2020/04","27,622","26,537","1,085"
"2020/05","27,841","26,637","1,204"
"2020/06","27,898","26,728","1,170"
"2020/07","27,963","26,797","1,166"
"2020/08","27,904","26,879","1,025"
"2020/09","27,933","26,796","1,137"
"2020/10","28,040","26,854","1,186"
"2020/11","28,165","26,995","1,170"
"2020/12","28,007","26,811","1,196"
"2021/01","27,840","26,511","1,330"
"2021/02","28,126","27,001","1,125"
"2021/03","28,276","27,158","1,118"
"2021/04","28,263","27,195","1,067"
"2021/05","28,327","27,249","1,078"
"2021/06","28,341","27,302","1,039"
"2021/07","28,277","27,336","941"
"2021/08","28,282","27,387","895"
"2021/09","28,326","27,464","863"
"2021/10","28,413","27,503","910"
"2021/11","28,436","27,544","892"
"2021/12","28,617","27,601","1,016"
"2022/01","28,624","27,672","951"
"2022/02","28,853","28,056","797"
"2022/03","28,799","27,994","806"
"2022/04","28,873","28,065","808"
"2022/05","29,002","28,170","831"
"2022/06","28,974","28,133","840"
"2022/07","29,009","28,155","854"
"2022/08","28,936","28,182","754"
"2022/09","28,976","28,166","809"
"2022/10","28,974","28,174","800"
"2022/11","28,977","28,163","814"
"2022/12","29,010","28,123","887"
"2023/01","28,938","28,097","842"
