"","jobkorea.co.kr--domain","saramin.co.kr--domain","jobplanet.co.kr--domain"
"Jan 2017","10.065749719689002","9.181809640586842","6.887027874874713"
"Feb 2017","10.265962728955262","7.491340524558879","6.691767054322806"
"Mar 2017","9.34251541136354","9.274582428630568","8.93302834513965"
"Apr 2017","10.08058869364576","9.464248444324198","8.83114571253407"
"May 2017","11.913793890064968","10.240837403858443","6.847220808307035"
"Jun 2017","10.486646363712914","8.771135469139368","6.566524036591389"
"Jul 2017","11.782534963967587","9.155005710563099","6.601530274380271"
"Aug 2017","13.204769876941002","9.19438887634823","8.323803452334248"
"Sep 2017","9.949961255802863","9.672341578896102","8.023888169816205"
"Oct 2017","10.767302126401582","9.438766397984656","6.8270677960382"
"Nov 2017","8.961486967245184","9.428656442545789","8.827971914292323"
"Dec 2017","9.714312428437857","10.627612501899453","7.589889117379011"
"Jan 2018","8.602633629116113","8.53660988635779","6.221114961111394"
"Feb 2018","8.388893738430285","8.587684140512529","6.870356032338308"
"Mar 2018","7.434674641917895","8.457852067077033","6.37935169450101"
"Apr 2018","7.7331663603144305","8.23464551985061","6.984316536058451"
"May 2018","7.3062367630986245","8.933833597978817","6.558717822656399"
"Jun 2018","7.243362232433496","9.422834387741393","5.947715238031324"
"Jul 2018","8.744631911876226","8.954524335928738","6.103644098427856"
"Aug 2018","8.057405686336683","8.474500110193166","5.792942632337187"
"Sep 2018","7.7533514027747765","7.342224314686808","5.686360016286045"
"Oct 2018","9.718379218895489","7.6231170874852126","5.69128898026925"
"Nov 2018","8.587700369913687","8.943783342345553","6.260956957595755"
"Dec 2018","8.62057446323608","8.454494210665754","5.430218742862412"
"Jan 2019","8.7796147874492","8.033290320132505","5.811489299981706"
"Feb 2019","8.348199877722536","7.302920294118483","5.930602180979618"
"Mar 2019","8.552887422334745","8.606005031552185","6.209772454369507"
"Apr 2019","8.871350003891575","7.773616669620957","6.450517670979703"
"May 2019","8.676836348123338","6.765878983729477","6.534871869604194"
"Jun 2019","8.03697385705967","6.629257897274324","6.736265123183795"
"Jul 2019","8.077841915153199","5.669859656115061","6.117251074947875"
"Aug 2019","7.746026577955515","5.844489774237685","4.909180570217175"
"Sep 2019","8.065855372428771","7.083647850215466","5.4306488051675315"
"Oct 2019","7.313170187515925","5.9913572493100995","4.924687717829578"
"Nov 2019","7.047600697084994","5.839721663384304","4.339552363454151"
"Dec 2019","7.519953241322187","5.673683154248004","4.327571157922018"
"Jan 2020","6.74626845707768","5.916698292905964","4.627230353668728"
"Feb 2020","7.405112427795937","5.051967029687916","4.339458392105941"
"Mar 2020","6.658902352954728","5.637644279880849","4.040090818695863"
"Apr 2020","7.043397828602722","5.97777207446527","3.6814391528485424"
"May 2020","8.319077381506805","7.733824027012417","4.000204326780896"
"Jun 2020","7.88432257478161","6.978771319437285","3.914196408986933"
"Jul 2020","7.797439265325229","6.929220233724408","4.145293956352749"
"Aug 2020","8.074691716541054","7.365595338937035","4.494667239671738"
"Sep 2020","7.548694398655766","6.937115976175464","4.123137182284412"
"Oct 2020","6.347237962302088","7.169168120489787","3.6788076215939416"
"Nov 2020","6.798341588741142","7.056630263345637","4.076648408992517"
"Dec 2020","6.740385773841894","6.150300569449416","5.266921851414293"
"Jan 2021","6.885423043188682","6.437179993593064","5.411639820136063"
"Feb 2021","7.235342580226356","6.571269665339248","4.037475622987947"
"Mar 2021","7.453667494301252","6.7182500205132","4.119393663604697"
"Apr 2021","6.145882027679956","5.91490747464783","3.160033597853749"
"May 2021","4.248772719845655","5.413303579088079","2.842359746006267"
"Jun 2021","4.691341003278212","5.572722866862249","2.9235752817352796"
"Jul 2021","5.377802724139359","4.462255411669211","3.116704133414725"
"Aug 2021","4.381068928792328","5.259120491044744","3.697476386748409"
"Sep 2021","4.571719626368422","4.678948417123438","3.186202725108813"
"Oct 2021","4.034894120023243","4.910447650266286","2.8303881889351348"
"Nov 2021","5.276553471551541","5.704147525408091","3.4079040210460296"
"Dec 2021","4.8317288065335315","5.379111675196516","2.926262801932367"
"Jan 2022","4.640329959972653","5.414254236375386","3.207496176653316"
"Feb 2022","5.519846558828356","5.951459182149196","3.215588711138568"
"Mar 2022","5.402078023156017","5.339902594748024","3.389334886930883"
"Apr 2022","5.502166906603835","5.3767903300240745","3.0579659406336743"
"May 2022","5.14772904961273","5.453984017481879","2.9943908343392174"
"Jun 2022","5.566399240670304","4.684676256242358","2.6915262849159935"
"Jul 2022","4.384724217695587","4.893955632617817","3.0186323453257438"
"Aug 2022","4.915449398529603","5.027739622550866","3.0508220794068923"
"Sep 2022","4.392502545636004","4.566748196770409","3.2553541715597576"
"Oct 2022","3.9965349718850645","4.300954584410671","2.718111838763177"
"Nov 2022","4.160571960563224","4.71686065507914","2.9046701358131823"
"Dec 2022","4.898492169607752","5.535135129525721","3.6173619115313196"
"Jan 2023","4.504108611884527","4.715254058376873","2.863108786128102"
"Feb 2023","5.959921962060032","4.815928217645709","2.977015881048148"
"Mar 2023","4.548350006893899","4.8967950581662825","3.050072294375952"
