"","jobkorea.co.kr--domain","saramin.co.kr--domain","jobplanet.co.kr--domain"
"Jan 2017","1436797","1468811","437993"
"Feb 2017","1566900","1276463","431826"
"Mar 2017","1603849","1775445","501003"
"Apr 2017","926594","879682","270766"
"May 2017","876736","1181461","314336"
"Jun 2017","997556","1496016","457594"
"Jul 2017","949978","1455198","376011"
"Aug 2017","950926","1156239","326272"
"Sep 2017","1140816","1416762","482875"
"Oct 2017","1177153","1533039","474128"
"Nov 2017","1211486","1430017","479817"
"Dec 2017","1000005","1658372","342344"
"Jan 2018","3160202","4003618","863492"
"Feb 2018","2107874","2907698","643200"
"Mar 2018","3525239","4430846","961522"
"Apr 2018","3167378","3867438","954381"
"May 2018","3840117","4703777","1206167"
"Jun 2018","2841957","3312285","938763"
"Jul 2018","2903734","3495408","948959"
"Aug 2018","2743770","3357740","974556"
"Sep 2018","2771899","3400562","950507"
"Oct 2018","2603288","3059157","998999"
"Nov 2018","2919600","3776354","1140782"
"Dec 2018","2628297","3193286","954454"
"Jan 2019","3354304","4427323","1372007"
"Feb 2019","2939217","4221972","1146549"
"Mar 2019","4170623","5238940","1396599"
"Apr 2019","2736681","3289001","1031833"
"May 2019","2897272","3083982","1132245"
"Jun 2019","2751106","2961908","966645"
"Jul 2019","3123677","4054612","1155870"
"Aug 2019","1130260","1637873","461333"
"Sep 2019","626160","1270732","345697"
"Oct 2019","4356430","4717711","1184986"
"Nov 2019","3318964","3773704","1137530"
"Dec 2019","2518463","3477951","933733"
"Jan 2020","2467143","3043359","762267"
"Feb 2020","4248549","5274806","1285321"
"Mar 2020","3212089","3729730","1107261"
"Apr 2020","2888739","3779480","931687"
"May 2020","2522993","4766993","929883"
"Jun 2020","2442646","4170490","893564"
"Jul 2020","2751476","4954382","1396789"
"Aug 2020","2644644","4788264","970323"
"Sep 2020","2978053","4972185","993656"
"Oct 2020","14401487","21866484","3479902"
"Nov 2020","12633537","19490621","4139264"
"Dec 2020","15297201","24550732","4828136"
"Jan 2021","9835887","16341665","3389451"
"Feb 2021","8991777","14322026","2797205"
"Mar 2021","15456902","20986486","4100628"
"Apr 2021","6228478","6876926","1595340"
"May 2021","7032013","8929146","1988553"
"Jun 2021","8708711","13374734","2842562"
"Jul 2021","8018092","16466546","3081399"
"Aug 2021","8842067","8227682","1945306"
"Sep 2021","5041758","7573269","1788846"
"Oct 2021","6040330","7938474","1985528"
"Nov 2021","3943957","5133109","1377552"
"Dec 2021","3821272","5833632","1035000"
"Jan 2022","5223179","6684960","1530727"
"Feb 2022","3607376","4672686","1252881"
"Mar 2022","3864827","4097315","957777"
"Apr 2022","3211952","4398770","1439604"
"May 2022","5007485","5438317","1499510"
"Jun 2022","6186509","7219228","1885454"
"Jul 2022","7256702","8671776","1954236"
"Aug 2022","7193704","6327952","1870014"
"Sep 2022","7414650","7212060","1511485"
"Oct 2022","6100672","6618168","1234259"
"Nov 2022","6959291","7467800","1665155"
"Dec 2022","4154645","4818155","1081897"
"Jan 2023","5144925","5721992","1360679"
"Feb 2023","6220564","8223971","1881299"
"Mar 2023","5171319","5741976","1325606"
