"","jobkorea.co.kr--domain","saramin.co.kr--domain","jobplanet.co.kr--domain"
"Jan 2017","609270","590947","199573"
"Feb 2017","601365","543080","199538"
"Mar 2017","596287","569330","207117"
"Apr 2017","318266","350911","119356"
"May 2017","326075","426973","139194"
"Jun 2017","392771","555695","174578"
"Jul 2017","394884","554276","165252"
"Aug 2017","333171","471719","152924"
"Sep 2017","373676","486424","172644"
"Oct 2017","384528","497665","185173"
"Nov 2017","431812","520158","179706"
"Dec 2017","389636","511382","162350"
"Jan 2018","1265344","1590511","447543"
"Feb 2018","889177","1190562","350176"
"Mar 2018","1349400","1816316","541933"
"Apr 2018","1193865","1529174","494214"
"May 2018","1550402","1882826","585603"
"Jun 2018","1170312","1350377","497083"
"Jul 2018","1148388","1397387","495399"
"Aug 2018","1108685","1339773","487221"
"Sep 2018","1171845","1420052","477754"
"Oct 2018","1088219","1286267","524657"
"Nov 2018","1275356","1497927","593230"
"Dec 2018","1191713","1308013","533008"
"Jan 2019","1367074","1616143","704339"
"Feb 2019","1184051","1582037","623055"
"Mar 2019","1672163","2103523","680914"
"Apr 2019","1036233","1136708","477869"
"May 2019","1150508","1217522","561727"
"Jun 2019","1215940","1261113","514940"
"Jul 2019","1304367","1677771","558577"
"Aug 2019","601248","811295","283804"
"Sep 2019","355592","584698","221322"
"Oct 2019","1524064","1900519","697091"
"Nov 2019","1261507","1658596","591294"
"Dec 2019","1009516","1348942","452025"
"Jan 2020","870125","1261884","465505"
"Feb 2020","1549702","1954040","650167"
"Mar 2020","1030249","1480106","469142"
"Apr 2020","1057405","1605301","488039"
"May 2020","1072480","1824239","447251"
"Jun 2020","1017892","1560351","423584"
"Jul 2020","1182779","1949739","460385"
"Aug 2020","1126708","1804473","428278"
"Sep 2020","1128882","1723343","433441"
"Oct 2020","5501466","7485860","1751754"
"Nov 2020","4994780","7104911","1922500"
"Dec 2020","5898577","8606441","2267838"
"Jan 2021","3898781","5570577","1476463"
"Feb 2021","3633336","5143676","1220814"
"Mar 2021","5587420","7552106","1833963"
"Apr 2021","2470030","2612955","719607"
"May 2021","3489839","3538097","890865"
"Jun 2021","4415708","4593434","1227296"
"Jul 2021","3973821","5561669","1479620"
"Aug 2021","3195920","3658267","989162"
"Sep 2021","2565842","3171537","991954"
"Oct 2021","3050677","3461022","1093870"
"Nov 2021","1664984","1961634","543548"
"Dec 2021","1965954","2342181","609263"
"Jan 2022","2384996","2728780","812520"
"Feb 2022","1840033","1992166","615044"
"Mar 2022","1484468","1693147","506326"
"Apr 2022","1633378","1832686","540550"
"May 2022","2121307","2220179","656063"
"Jun 2022","3198333","3014346","790473"
"Jul 2022","3652765","3985687","888443"
"Aug 2022","3555291","3142155","974718"
"Sep 2022","3684442","3358535","910267"
"Oct 2022","3002533","2900483","765081"
"Nov 2022","3636431","3734815","1036221"
"Dec 2022","2170981","2160912","558380"
"Jan 2023","2338146","2573894","663584"
"Feb 2023","2508531","3042866","890375"
"Mar 2023","2480144","2617888","684351"
